,n,e,s,w,max_idx
0,0.017644295498268805,0.02014729234653533,0.1324616157817316,0.0,s
1,0.035871842295858186,0.07073320104441341,0.2461086279798797,0.0,s
2,0.10485970459346548,0.0,0.46065467186828274,0.017683300261103357,s
3,0.0,0.0,0.0,0.0,n
4,0.020544000000000003,0.0,0.6124189138773606,0.0,s
5,0.005204095257634951,0.3908775141615765,0.0,0.0,e
6,0.016117833877228264,0.7096972315867219,0.0,0.05453161185015265,e
7,0.1613386486213959,0.0,0.8869798793467291,0.24345980756701488,s
8,0.0,0.0,0.0,0.0,n
9,0.033384960000000005,0.21460488372224001,0.9774820018631475,0.0,s
10,0.0,0.0,0.0,0.0,n
11,0.0,0.0,0.0,0.0,n
12,0.06718772246517866,0.9858827277766863,0.0,0.0,e
13,0.0,0.9999999953683165,0.3921854484303472,0.42091221217895003,e
14,0.0,0.0,0.0,0.0,n
15,0.0,0.47482094033534233,0.05188382818197981,0.015203188306891819,e
16,0.0,0.39924091788104776,0.002639530763521336,0.0,e
17,0.3242382492015443,0.7778571353496933,0.0,0.3419566221615557,e
18,0.6695626437824519,0.2256512,0.0,0.4205947051827712,n
19,0.865782272,0.0,0.0,0.0,n
20,0.23527990862877224,0.0,0.036152519057296495,0.00038784164018991935,n
21,0.2301249576898517,0.0,0.02715007738411784,0.020379631551452754,n
22,0.0,0.0,0.0,0.0,n
23,0.0,0.0,0.0,0.0,n
24,0.0,0.0,0.0,0.0,n
